relative_path,size_bytes,sha256,rows,duplicate_rows_within_file,invalid_required8_or_label_rows
day1/01-12/DrDoS_DNS.csv,2133307948,eee1a2cf10be29129f00930e250236c237b97d2941e8cea766006db82047df83,5074413,0,162394
day1/01-12/DrDoS_LDAP.csv,917302277,fbc836bfb01d9eb5f5a2b4aae3428d7c17f449ede5466273249a9ce6095338b0,2181542,0,38650
day1/01-12/DrDoS_MSSQL.csv,1889181756,534ebd8bb98a571b6e0a65a65091cb22b09156fa4db82e5752a92df02ea5402b,4524498,0,126466
day1/01-12/DrDoS_NTP.csv,645008606,b4ae33b2a22975f2c4c8b0e2bfc501fee38dae274dca37d4b01010de059c9c2c,1217007,0,7046
day1/01-12/DrDoS_NetBIOS.csv,1697479829,b0dbf6d712a021380cade45f753531a5860d0bfd4d338b4013ea5566d968329e,4094986,0,129853
day1/01-12/DrDoS_SNMP.csv,2172579815,a74a411a37fbb1a4d4acd20bb8a7e93714992e34d9fb08b3b2c5e1795c867eb7,5161377,0,10623
day1/01-12/DrDoS_SSDP.csv,1252686219,0bc1a2bb6dbef3851b7a2177ef74bd801dcf592b69ef5bbe5044821e695423c1,2611374,0,42050
day1/01-12/DrDoS_UDP.csv,1506039371,85c54bf54f987586e1d8da14b76d1167baa4636755cae24e648067e5242d679a,3136802,0,40673
day1/01-12/Syn.csv,637312127,05a272a7005be14262d3929ad16877db42fc74a03032a3a5b58d0230ab08896a,1582681,0,202317
day1/01-12/TFTP.csv,9302011115,b56314cca3f68c9027e9fa684c7c565df6fc5c510c87f12b1c00390364e44d7c,20107827,0,566761
day1/01-12/UDPLag.csv,157968770,f67708a8462509932759ffed7eb92dca0f423267609d1be38a461708d4ea5b7e,370605,0,36403
day2/03-11/LDAP.csv,871398918,d1cfc7cb9252b73d9789f7307d7583be9c3a8e90ee9c096eefe8b0d3d8be23c3,2113234,0,54112
day2/03-11/MSSQL.csv,2386225228,d13cf30e7b987f7e916c54643f2e03dd4c31fc4b2051be175d5ee83d392d8f88,5775786,0,202217
day2/03-11/NetBIOS.csv,1418468105,ddd2e8cd76c125e1d93094af519845e2ed1eaf44edcd3f783b3a9dee638a5e1e,3455899,0,130560
day2/03-11/Portmap.csv,78611080,d0148da21f3c645b32b21b59386721eddd497a16e3de4e2950391e575fca2e28,191694,0,9800
day2/03-11/Syn.csv,1877372065,603648e7c56e9232b6d647470dc01b6451502c594a4ebf235b45103edb5e545a,4320541,482799,283076
day2/03-11/UDP.csv,1792797298,27e262e851f12a5fc29cd433fec53a63e9e8fc3cfdc1a1d78f77995bd175a59b,3782206,0,77047
day2/03-11/UDPLag.csv,319793413,c8a471f56721118dc0c5ae86ae348cd261f81cf7313c08f5bbdf913005ce7ced,725165,0,50702
